@id,createdAt,history_accidentCount,history_accidents,history_oneOwner,history_ownerCount,history_personalUse,history_usageType,location,online,retailListing_carfaxUrl,retailListing_city,retailListing_cpo,retailListing_dealer,retailListing_miles,retailListing_photoCount,retailListing_price,retailListing_primaryImage,retailListing_state,retailListing_used,retailListing_vdp,retailListing_zip,vehicle_baseInvoice,vehicle_baseMsrp,vehicle_bodyStyle,vehicle_confidence,vehicle_cylinders,vehicle_doors,vehicle_drivetrain,vehicle_engine,vehicle_exteriorColor,vehicle_fuel,vehicle_interiorColor,vehicle_make,vehicle_model,vehicle_seats,vehicle_series,vehicle_squishVin,vehicle_style,vehicle_transmission,vehicle_trim,vehicle_type,vehicle_vin,vehicle_year,vin,wholesaleListing
https://api.auto.dev/listings/JTJGKCEZ8R5019877,2026-03-07 09:36:02,0,False,True,1,True,Personal Use,"[-119.746735, 34.435714]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTJGKCEZ8R5019877&partner=FRD_2,Santa Barbara,False,Coastal Chevrolet,15508,1,48100,https://retail.photos.vin/JTJGKCEZ8R5019877-1.jpg,CA,True,#-7090417559425221358,93105,43723,46515,SUV,0.995,4,4,AWD,2.5L 4Cyl premium unleaded (recommended),White,Premium Unleaded (Recommended),Black,Lexus,NX,5,350h Premium 4dr SUV AWD (2.5L 4cyl gas/electric hybrid CVT),JTJGKCEZR5,4dr SUV,Automatic,350h Premium,Crossover,JTJGKCEZ8R5019877,2024,JTJGKCEZ8R5019877,
https://api.auto.dev/listings/JTJGKCEZ8S2043359,2026-02-25 11:51:04,0,False,True,1,True,Personal Use,"[-111.9006, 40.86071]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTJGKCEZ8S2043359&partner=FRD_2,Bountiful,False,Rand's Auto Sales,8057,25,42999,https://retail.photos.vin/JTJGKCEZ8S2043359-1.jpg,UT,True,http://details.vast.com/details/cars/ob-48ae10cec45c5264c0c05239af7ac2c3eda678223f9171ac63be6a3107cd3db63b027b96ef83ac88fd6ccb42933d4f3c6bf26f82a637df6dbf6160746a741de21093f23c4ec61e1adf3fa69ed301d73abfc77797297db26a079218ff16be9a036277baf2db34efa7cbf46115a8497dac0882781e32773becbbfc92a89cf16a00de5f4389b1cc2c773ae6b28b499c8f0c7b6ad524e9eb26f1797633f545ec82dae17dfe46c2bf13d50b6d06975724cf63/?pl=46&context=1e0d811633d20dd94c351375e543927eda3d8b1a,84010,44510,47350,SUV,0.995,4,4,AWD,2.5L 4Cyl premium unleaded (recommended),Red,Premium Unleaded (Recommended),Black,Lexus,NX,5,350h Premium 4dr SUV AWD (2.5L 4cyl gas/electric hybrid CVT),JTJGKCEZS2,4dr SUV,Automatic,350h Premium,Crossover,JTJGKCEZ8S2043359,2025,JTJGKCEZ8S2043359,
https://api.auto.dev/listings/JTJGKCEZ9R5013943,2026-02-01 08:52:32,1,True,True,1,True,Personal Use,"[-118.484686, 34.024797]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTJGKCEZ9R5013943&partner=FRD_2,Santa Monica,False,Lexus Santa Monica,54030,1,41000,https://retail.photos.vin/JTJGKCEZ9R5013943-1.jpg,CA,True,#-8145221212181553731,90404,43723,46515,SUV,0.995,4,4,AWD,2.5L 4Cyl premium unleaded (recommended),Gray,Premium Unleaded (Recommended),Red,Lexus,NX,5,350h Premium 4dr SUV AWD (2.5L 4cyl gas/electric hybrid CVT),JTJGKCEZR5,4dr SUV,Automatic,350h Premium,Crossover,JTJGKCEZ9R5013943,2024,JTJGKCEZ9R5013943,
https://api.auto.dev/listings/JTJGKCEZ9R5019774,2026-01-23 20:31:38,1,True,True,1,True,Personal Use,"[-96.766919, 33.011706]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTJGKCEZ9R5019774&partner=FRD_2,Plano,False,Ray Huffines Chevrolet Plano,22723,1,43991,https://retail.photos.vin/JTJGKCEZ9R5019774-1.jpg,TX,True,#-3900724497412809926,75075,43723,46515,SUV,0.995,4,4,AWD,2.5L 4Cyl premium unleaded (recommended),Silver,Premium Unleaded (Recommended),Tan,Lexus,NX,5,350h Premium 4dr SUV AWD (2.5L 4cyl gas/electric hybrid CVT),JTJGKCEZR5,4dr SUV,Automatic,350h Premium,Crossover,JTJGKCEZ9R5019774,2024,JTJGKCEZ9R5019774,
https://api.auto.dev/listings/JTJGKCEZ9R5021332,2026-03-18 02:31:40,1,True,True,1,True,Personal Use,"[-117.85144, 33.767412]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTJGKCEZ9R5021332&partner=FRD_2,Santa Ana,False,California Motors Direct,33535,1,38999,https://retail.photos.vin/JTJGKCEZ9R5021332-1.jpg,CA,True,#2581264687537708851,92705,43723,46515,SUV,0.995,4,4,AWD,2.5L 4Cyl premium unleaded (recommended),Black,Premium Unleaded (Recommended),Black,Lexus,NX,5,350h Premium 4dr SUV AWD (2.5L 4cyl gas/electric hybrid CVT),JTJGKCEZR5,4dr SUV,Automatic,350h Premium,Crossover,JTJGKCEZ9R5021332,2024,JTJGKCEZ9R5021332,
https://api.auto.dev/listings/JTJGKCEZ9S5037682,2026-03-03 04:50:32,0,False,True,1,True,Personal Use,"[-95.157968, 29.556349]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTJGKCEZ9S5037682&partner=FRD_2,Friendswood,False,Lexus of Clear Lake,20807,1,47495,https://retail.photos.vin/JTJGKCEZ9S5037682-1.jpg,TX,True,#8848720893185476871,77546,44510,47350,SUV,0.995,4,4,AWD,2.5L 4Cyl premium unleaded (recommended),White,Premium Unleaded (Recommended),Black,Lexus,NX,5,350h Premium 4dr SUV AWD (2.5L 4cyl gas/electric hybrid CVT),JTJGKCEZS5,4dr SUV,Automatic,350h Premium,Crossover,JTJGKCEZ9S5037682,2025,JTJGKCEZ9S5037682,
https://api.auto.dev/listings/JTJGKCEZXP2014789,2026-03-15 22:09:18,0,False,True,1,True,Personal Use,"[-111.730847, 40.328018]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTJGKCEZXP2014789&partner=FRD_2,Lindon,False,Lexus of Lindon,38376,18,42660,https://retail.photos.vin/JTJGKCEZXP2014789-1.jpg,UT,True,#7802796749458865541,84042,42962,45705,SUV,0.995,4,4,AWD,2.5L 4Cyl premium unleaded (recommended),Black,Premium Unleaded (Recommended),Tan,Lexus,NX,5,Premium 4dr SUV AWD (2.5L 4cyl gas/electric hybrid CVT),JTJGKCEZP2,4dr SUV,Automatic,Premium,Crossover,JTJGKCEZXP2014789,2023,JTJGKCEZXP2014789,
https://api.auto.dev/listings/JTJGKCEZXR5012090,2026-03-07 10:49:39,0,False,True,1,True,Personal Use,"[-117.3205, 33.1412]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTJGKCEZXR5012090&partner=FRD_2,Carlsbad,False,Premier Kia Carlsbad,41665,35,43888,https://retail.photos.vin/JTJGKCEZXR5012090-1.jpg,CA,True,#2687942968852811937,92008,43723,46515,SUV,0.995,4,4,AWD,2.5L 4Cyl premium unleaded (recommended),Black,Premium Unleaded (Recommended),Brown,Lexus,NX,5,350h Premium 4dr SUV AWD (2.5L 4cyl gas/electric hybrid CVT),JTJGKCEZR5,4dr SUV,Automatic,350h Premium,Crossover,JTJGKCEZXR5012090,2024,JTJGKCEZXR5012090,
https://api.auto.dev/listings/JTJGKCEZXR5021310,2026-03-05 10:37:19,1,True,True,1,True,Personal Use,"[-77.158752, 38.874584]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTJGKCEZXR5021310&partner=FRD_2,Falls Church,False,Koons of Falls Church Ford,16778,1,45000,https://retail.photos.vin/JTJGKCEZXR5021310-1.jpg,VA,True,#1821035595875605944,22044,43723,46515,SUV,0.995,4,4,AWD,2.5L 4Cyl premium unleaded (recommended),Blue,Premium Unleaded (Recommended),Black,Lexus,NX,5,350h Premium 4dr SUV AWD (2.5L 4cyl gas/electric hybrid CVT),JTJGKCEZR5,4dr SUV,Automatic,350h Premium,Crossover,JTJGKCEZXR5021310,2024,JTJGKCEZXR5021310,
https://api.auto.dev/listings/JTJGKCEZXS2058140,2026-03-26 14:13:04,0,False,True,1,True,Personal Use,"[-75.692414, 40.089172]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTJGKCEZXS2058140&partner=FRD_2,Chester Springs,True,Lexus of Chester Springs,11777,1,49585,https://retail.photos.vin/JTJGKCEZXS2058140-1.jpg,PA,True,#4177312927745736191,19425,44510,47350,SUV,0.995,4,4,AWD,2.5L 4Cyl premium unleaded (recommended),Red,Premium Unleaded (Recommended),Black,Lexus,NX,5,350h Premium 4dr SUV AWD (2.5L 4cyl gas/electric hybrid CVT),JTJGKCEZS2,4dr SUV,Automatic,350h Premium,Crossover,JTJGKCEZXS2058140,2025,JTJGKCEZXS2058140,
https://api.auto.dev/listings/JTJGKCEZXS5030191,2026-02-10 16:25:27,0,False,True,1,True,Personal Use,"[-90.146794, 32.439829]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTJGKCEZXS5030191&partner=FRD_2,Ridgeland,False,Mercedes-Benz of Jackson,15975,1,46000,https://retail.photos.vin/JTJGKCEZXS5030191-1.jpg,MS,True,#4020359010144747368,39157,44510,47350,SUV,0.995,4,4,AWD,2.5L 4Cyl premium unleaded (recommended),White,Premium Unleaded (Recommended),Red,Lexus,NX,5,350h Premium 4dr SUV AWD (2.5L 4cyl gas/electric hybrid CVT),JTJGKCEZS5,4dr SUV,Automatic,350h Premium,Crossover,JTJGKCEZXS5030191,2025,JTJGKCEZXS5030191,
https://api.auto.dev/listings/JTJGKCEZXS5034726,2026-03-19 08:18:38,0,False,True,1,,Corporate Use,"[-112.063954, 33.509228]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTJGKCEZXS5034726&partner=FRD_2,Phoenix,True,Earnhardt Lexus,12652,39,51900,https://retail.photos.vin/JTJGKCEZXS5034726-1.jpg,AZ,True,http://details.vast.com/details/cars/ob-48ae10cec45c5264c0c05239af7ac2c3eda678223f9171ac63be6a3107cd3db63b027b96ef83ac88fd6ccb42933d4f3c6bf26f82a637df6dbf6160746a741de276dd53e8907afc3a507d237d60ae3fa0a2337ccfa85fc620d433cd94c79be272fe50289131893c159631e97f5e0a330363ce7d6dfa187fe506b5fd298d83674bde5f4389b1cc2c773ae6b28b499c8f0c7b6ad524e9eb26f1797633f545ec82dae17dfe46c2bf13d50b6d06975724cf63/?pl=7&context=1e0d811633d20dd94c351375e543927eda3d8b1a,85014,44510,47350,SUV,0.995,4,4,AWD,2.5L 4Cyl premium unleaded (recommended),Unspecified,Premium Unleaded (Recommended),Black,Lexus,NX,5,350h Premium 4dr SUV AWD (2.5L 4cyl gas/electric hybrid CVT),JTJGKCEZS5,4dr SUV,Automatic,350h Premium,Crossover,JTJGKCEZXS5034726,2025,JTJGKCEZXS5034726,
https://api.auto.dev/listings/JTJHGCEZ0R5009916,2026-02-05 11:10:23,0,False,True,1,True,Personal Use,"[-80.321107, 25.671903]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTJHGCEZ0R5009916&partner=FRD_2,Miami,False,Lexus of Kendall,18816,1,44997,https://retail.photos.vin/JTJHGCEZ0R5009916-1.jpg,FL,True,#-5700561929765787621,33156,46148,49355,SUV,0.995,4,4,AWD,2.4L 4Cyl premium unleaded (required),Black,Premium Unleaded (Required),Red,Lexus,NX,5,350 Luxury 4dr SUV AWD (2.4L 4cyl Turbo 8A),JTJHGCEZR5,4dr SUV,Automatic,350 Luxury,Crossover,JTJHGCEZ0R5009916,2024,JTJHGCEZ0R5009916,
https://api.auto.dev/listings/JTJHGCEZ2S2024117,2026-03-07 00:23:49,1,True,True,1,True,Personal Use,"[-88.054886, 42.050307]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTJHGCEZ2S2024117&partner=FRD_2,Schaumburg,False,Patrick Hyundai of Schaumburg,81156,1,49800,https://retail.photos.vin/JTJHGCEZ2S2024117-1.jpg,IL,True,#4914707913305402297,60173,47490,50790,SUV,0.995,4,4,AWD,2.4L 4Cyl premium unleaded (required),Blue,Premium Unleaded (Required),Tan,Lexus,NX,5,350 Luxury 4dr SUV AWD (2.4L 4cyl Turbo 8A),JTJHGCEZS2,4dr SUV,Automatic,350 Luxury,Crossover,JTJHGCEZ2S2024117,2025,JTJHGCEZ2S2024117,
https://api.auto.dev/listings/JTJHGCEZ4R5010082,2026-03-19 09:52:04,1,True,True,1,True,Personal Use,"[-84.50432, 33.954037]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTJHGCEZ4R5010082&partner=FRD_2,Marietta,False,Grand Motorcars,6821,1,50000,https://retail.photos.vin/JTJHGCEZ4R5010082-1.jpg,GA,True,#-7988065646432748404,30062,46148,49355,SUV,0.995,4,4,AWD,2.4L 4Cyl premium unleaded (required),White,Premium Unleaded (Required),Red,Lexus,NX,5,350 Luxury 4dr SUV AWD (2.4L 4cyl Turbo 8A),JTJHGCEZR5,4dr SUV,Automatic,350 Luxury,Crossover,JTJHGCEZ4R5010082,2024,JTJHGCEZ4R5010082,
